95255664	76	57	81	19	60	42	39
47718233	81	46	46	4	55	14	53
32548926	9	1	98	43	7	86	77
37340752	50	3	62	17	40	86	39
62527760	34	99	19	78	89	99	45
49622150	75	45	64	39	15	62	2
17730168	93	54	17	86	72	22	63
87160298	88	27	24	62	71	93	93
64608401	79	68	78	36	72	89	8
18617682	93	37	90	2	96	88	29
86705053	10	85	68	40	36	10	91
24755892	43	95	87	51	51	100	9
15400114	34	88	55	54	71	90	25
91183775	86	73	39	59	77	53	20
38460167	2	77	59	67	72	85	33
36529125	91	26	77	50	50	93	61
14603461	83	64	42	73	94	17	98
89368701	61	85	97	73	35	74	76
32021114	18	26	66	3	77	51	55
62138834	30	74	100	75	90	33	44
16557270	84	30	9	99	62	89	94
83765774	6	33	38	10	79	26	72
73680529	13	45	24	38	1	27	10
61356814	79	25	89	24	11	28	32
18950731	24	44	58	89	87	36	35
18305494	16	73	93	32	99	18	77
37054246	92	47	58	6	14	7	66
78934878	58	93	96	72	16	10	51
51963016	55	4	47	38	34	29	5
53347161	73	96	8	49	54	3	81
