21180487	5	18	80	61	95	36	1
26224414	93	57	36	16	24	6	62
45581513	74	62	34	60	31	9	30
96419169	80	25	50	99	30	50	3
23014599	49	94	84	94	16	20	45
95545319	65	97	18	78	41	20	43
39461749	57	30	43	36	71	18	13
38737802	2	8	57	30	77	95	89
38526631	83	26	49	17	30	46	67
74304789	81	56	23	57	90	92	34
82693021	89	61	83	37	92	30	50
26684172	46	42	22	16	6	64	36
80732490	89	44	51	36	39	23	43
23340395	68	78	60	76	83	80	73
21046387	54	59	81	54	85	23	82
81565635	46	64	59	12	74	31	84
28979771	67	18	19	78	92	8	92
60385762	7	35	11	38	86	52	77
26099411	85	64	45	36	7	61	32
55731890	51	89	84	77	9	85	76
93317170	45	44	20	23	39	58	32
92403416	65	84	29	15	32	62	22
53382185	95	29	82	33	15	28	77
89127195	54	32	51	29	87	45	60
67438723	55	65	53	24	8	56	1
74085657	52	69	44	43	6	87	21
68035316	51	26	9	73	61	96	12
70502425	86	4	82	53	49	9	15
52723909	13	85	31	20	69	68	81
20739230	61	73	33	52	28	67	8
