ID	Exam1	Exam2	Homework	Attendance	Project1	Project2	Class Recap	Final Grade	Potential Grade	
2334039568	78	60	76	83	80	73	100	B 80.77000000000001
2301459949	94	84	94	16	20	45	100	C+ 75.26
9331717045	44	20	23	39	58	32	100	failed 57.49
8073249089	44	51	36	39	23	43	100	D 68.82
5272390913	85	31	20	69	68	81	100	D 65.21000000000001
7408565752	69	44	43	6	87	21	100	D 66.22999999999999
2104638754	59	81	54	85	23	82	100	C 73.18
4558151374	62	34	60	31	9	30	100	D 66.8
7430478981	56	23	57	90	92	34	100	C 73.12
7050242586	4	82	53	49	9	15	100	failed 62.12
9554531965	97	18	78	41	20	43	100	C 72.95
2073923061	73	33	52	28	67	8	100	D 67.41
603857627	35	11	38	86	52	77	100	failed 52.540000000000006
3946174957	30	43	36	71	18	13	100	failed 58.370000000000005
5338218595	29	82	33	15	28	77	100	C 71.09
8269302189	61	83	37	92	30	50	100	C+ 78.88
387378022	8	57	30	77	95	89	100	failed 52.84
3852663183	26	49	17	30	46	67	100	D 65.2
9240341665	84	29	15	32	62	22	100	D 69.32
211804875	18	80	61	95	36	1	100	failed 51.65
2668417246	42	22	16	6	64	36	100	failed 56.1
2897977167	18	19	78	92	8	92	100	failed 62.540000000000006
2609941185	64	45	36	7	61	32	100	C 71.06
5573189051	89	84	77	9	85	76	100	C+ 78.74000000000001
8156563546	64	59	12	74	31	84	100	D 68.67
2622441493	57	36	16	24	6	62	100	D 69.46000000000001
6803531651	26	9	73	61	96	12	100	failed 57.790000000000006
6743872355	65	53	24	8	56	1	100	failed 63.52
8912719554	32	51	29	87	45	60	100	failed 63.660000000000004
9641916980	25	50	99	30	50	3	100	failed 64.14
