i48119508	55	48	75	2	73	32	75
80541184	71	11	59	84	22	58	1
85134761	26	95	72	31	13	29	100
59955009	8	95	3	75	70	76	97
73790936	87	80	62	61	31	80	4
79737888	1	99	97	37	66	70	20
55377122	47	90	2	22	87	21	93
76631398	70	1	84	90	28	34	81
18955996	52	67	11	92	34	24	36
18274620	43	45	86	49	3	16	59
82153889	5	49	87	95	31	29	76
25756023	63	27	51	21	92	91	80
78273375	8	98	38	69	82	11	95
10319256	56	99	39	95	63	5	7
98285648	20	89	67	10	57	99	1
49885870	41	81	60	81	23	62	98
38208688	84	89	33	32	95	2	90
63731509	63	31	24	67	64	35	72
68563339	64	63	68	72	28	67	80
58693614	7	37	13	21	81	86	69
70015077	2	52	33	12	67	67	95
73071322	48	45	92	4	21	44	98
11276506	48	7	79	55	92	24	48
41047171	76	75	77	34	73	73	67
77147806	30	46	29	2	2	69	28
73349016	27	35	56	66	84	43	16
56767019	82	86	59	34	53	16	62
50020826	16	22	61	70	40	99	3
28662770	55	5	68	99	55	100	25
48412738	41	30	13	21	5	79	91
