47529088	65	73	13	91	84	36	22
64054618	16	89	28	13	95	26	71
60896265	17	39	79	53	71	31	47
37994145	60	45	78	41	11	91	82
66859779	42	100	1	41	82	75	21
89614399	28	22	33	2	84	30	37
26705829	55	26	58	32	80	97	98
40486813	40	8	11	62	19	45	61
10292569	41	9	56	5	12	53	63
83646726	32	77	80	38	64	27	30
96990501	98	72	29	84	71	98	53
14514152	19	36	75	15	51	2	38
26458973	61	43	2	91	7	6	17
89472445	48	63	8	22	18	33	54
91247896	86	48	81	92	31	39	24
34665036	8	98	65	6	83	62	78
93750905	48	17	9	30	77	60	64
74892440	12	64	10	90	28	51	11
94075530	6	56	78	89	9	17	88
15341721	40	46	22	75	23	49	44
68783892	43	13	12	82	79	72	93
97389039	3	90	85	49	5	38	64
69050774	38	61	34	57	32	93	94
51506497	38	100	5	40	10	50	5
54530769	9	64	8	9	65	8	55
45520095	19	8	78	29	44	33	78
15254906	29	1	25	49	45	20	61
50407168	41	51	89	43	52	10	77
99289957	92	9	62	36	93	14	78
94326281	50	75	51	45	78	32	98
